City,District,OID,ReportYear,ReportDate,Address,ReportNumber,PropertyStatus,PropValue,Serial,Disposition,CallNumber,x,y
BOULDER,East Boulder,1,2015,2015-01-01,5XX MOHAWK,1570056,STOLEN,1095.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.237102966079,39.9975246000214
BOULDER,East Boulder,2,2015,2015-01-01,5XX MOHAWK,1570056,STOLEN,1450.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.237102966079,39.9975246000214
BOULDER,Central Boulder,3,2015,2015-01-05,10XX ARAPAHOE,1500130,STOLEN,1000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.281741760842,40.0139455569322
BOULDER,CU Campus,4,2015,2015-01-10,23XX SOUTH,1570045,STOLEN,2700.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.264131147216,40.0196750109141
BOULDER,,5,2015,2015-01-12,8XX ,1570052,STOLEN,3200.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,East Boulder,6,2015,2015-01-12,28XX AURORA,1570049,STOLEN,400.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.25598659497,40.0039037794829
BOULDER,CU Campus,7,2015,2015-01-13,23XX SPRUCE,1570060,STOLEN,700.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.265422643605,40.0223085666475
BOULDER,,8,2015,2015-01-14,VALID ADDRESS UNAVAILABLE,1570070,STOLEN,160.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,,9,2015,2015-01-15,VALID ADDRESS UNAVAILABLE,1570074,STOLEN,800.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,Central Boulder,10,2015,2015-01-20,20XX 13TH,1500720,STOLEN,748.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.279323438807,40.0189209850865
BOULDER,North Boulder,11,2015,2015-01-20,14XX ZAMIA,1500741,STOLEN,4300.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.278826977873,40.0612172533137
BOULDER,,12,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,,13,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1000.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,,14,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,,15,2015,2015-01-21,VALID ADDRESS UNAVAILABLE,1500771,STOLEN,1500.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,,
BOULDER,East Boulder,16,2015,2015-01-22,6XX MANHATTAN,1500799,STOLEN,600.0,Yes,Online Report - No Call Disposition,Online Report - No Call Number,-105.230660861391,39.9989739843712
BOULDER,East Boulder,17,2015,2015-01-22,6XX MANHATTAN,1500799,STOLEN,3000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.230660861391,39.9989739843712
BOULDER,North Boulder,18,2015,2015-01-24,31XX 3RD,1570113,STOLEN,1000.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.293149254062,40.0320126472843
BOULDER,North Boulder,19,2015,2015-01-24,31XX 3RD,1570113,STOLEN,550.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.293149254062,40.0320126472843
BOULDER,Valmont,20,2015,2015-01-25,19XX 30TH,1500945,STOLEN,2500.0,No,Online Report - No Call Disposition,Online Report - No Call Number,-105.254091224434,40.0204744370985
